,address,price
0,"Jamaica Street, Glasgow,G1 4QG",£477 pcm
1,"Flat 1/3, 66 Bulldale Street",£575 pcm
2,"Nicolson Court, Glasgow, G33",£595 pcm
3,"Kittoch Street, Village, East Kilbride, South Lanarkshire, G74",£400 pcm
4,"Denholm Green, Murray , East Kilbride, South Lanarkshire, G75",£400 pcm
5,"Oak Avenue, Greenhills, South Lanarkshire, G75",£400 pcm
6,"Glen Prosen, St Leonards, East Kilbride, South Lanarkshire, G74",£375 pcm
7,"Lavender Drive, Greenhills, East Kilbride, South Lanarkshire, G75",£415 pcm
8,"Franklin Place, East Kilbride, South Lanarkshire, G75",£425 pcm
9,"Maybole Crescent, Newton Mearns, Glasgow - Available 8th January 2018!",£450 pcm
10,"Cumbernauld Road, Dennistoun, Glasgow - Available 24th January 2019!!",£385 pcm
11,"Quarryknowe Street, Parkhead, Glasgow - AVAILABLE NOW!!!",£550 pcm
12,"Killearn Street, Hamiltonhill",£550 pcm
13,"Cumbernauld Road, Dennistoun, Glasgow",£425 pcm
14,"Tillie Street, Kelvinbridge",£575 pcm
15,"Dumbarton Road, Whiteinch, Glasgow, G14",£475 pcm
16,"Donaldson Street, Kirkintilloch, GLASGOW, Lanarkshire, G66",£595 pcm
17,"Eaglesham Road, Glasgow, G75",£550 pcm
18,"Harris Close, Newton Mearns, East Renfrewshire, G77",£550 pcm
19,"Orkney Place, Govan, GLASGOW, G51",£525 pcm
20,"KILMANY DRIVE, GLASGOW, G32 7DH",£450 pcm
21,"Cuthbertson Street, Govanhill, Glasgow, G42",£395 pcm
22,"Pollokshaws Road, Shawlands, Glasgow, G41",£395 pcm
23,"Stuart Street, The Village, East Kilbride, G74",£375 pcm
24,"Dundrennan Road, Flat 0/1, Battlefield, Glasgow, G42 9SH",£595 pcm
25,"Jamaica Street, Glasgow,G1 4QG",£477 pcm
26,"Newlands Road, Glasgow, G44",£550 pcm
27,"Ardbeg Avenue, Glasgow",£575 pcm
28,"Hill Street, Flat 1/1, Garnethill, Glasgow, G3 6US",£595 pcm
29,"St Vincent Street, Main Door, Charing Cross, Glasgow, G3 8RN",£595 pcm
